symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,currency,sector_group,sector_name,market_type,industry_code,industry_name,valuation_model_type,valuation_model_name,peer_group_name,peer_group_level,peer_group_size,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,operating_margin,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_debt_ratio_avg,peer_operating_margin_avg,per_vs_peer_pct,pbr_vs_peer_pct,roe_vs_peer_pctp,debt_ratio_vs_peer_pct,operating_margin_vs_peer_pctp,weight_per,weight_pbr,weight_roe,weight_debt,weight_op_margin,per_score,pbr_score,roe_score,debt_score,operating_margin_score,absolute_score,weighted_absolute_score,per_peer_score,pbr_peer_score,roe_peer_score,debt_peer_score,op_margin_peer_score,risk_penalty,industry_adjusted_score,valuation_score
005420,,코스모화학,2025,2025-12-31,2026-06-18,12370.0,475100000000.0,KRW,general,일반,유가증권시장상장법인,204,기타 화학제품 제조업,manufacturing,제조업형,기타 화학제품 제조업,industry,71,1168366014277.0,584052108436.0,584313905841.0,-30961125757.0,,,,0.81,-5.3,99.96,,236.75,23.81,1.81,80.43,-5.33,,96.58,-7.11,-24.28,,25,20,20,15,20,0,20,0,25,0,45,31.0,0.0,57.14,81.43,22.86,0.0,15,16,16
009310,,참엔지니어링,2025,2025-12-31,2026-06-18,5330.0,23300000000.0,KRW,general,일반,유가증권시장상장법인,292,특수 목적용 기계 제조업,manufacturing,제조업형,특수 목적용 기계 제조업,industry,147,837277101629.0,770530565603.0,66746536026.0,-13561744196.0,-7530528793.0,59844031140.0,,0.35,-20.32,1154.41,-12.58,347.78,12.98,-8.29,88.16,-10.21,,97.31,-12.03,-1209.48,-2.38,25,20,20,15,20,0,25,0,0,0,25,20.0,0.0,92.31,85.21,0.0,77.46,35,16,16
012510,,더존비즈온,2025,2025-12-31,2026-06-18,120000.0,3494900000000.0,KRW,general,일반,유가증권시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",it_software,IT/소프트웨어형,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",industry,27,1129961431954.0,498174430494.0,631787001460.0,92289152067.0,127727153412.0,446299245964.0,37.87,5.53,14.61,78.85,28.62,16.27,1.22,0.33,139.81,-0.46,-132.68,-354.71,14.28,43.6,29.08,10,10,25,15,40,0,0,20,25,25,45,75.0,5.56,0.0,23.08,65.38,0.0,0,16,16
027040,,서울전자통신,2025,2025-12-31,2026-06-18,2095.0,29200000000.0,KRW,general,일반,코스닥시장상장법인,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",manufacturing,제조업형,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",industry,31,39471480378.0,30721757760.0,8749722618.0,-5341220014.0,-1609196308.0,33729253174.0,,3.34,-61.04,351.12,-4.77,52.78,4.71,-2.31,109.35,-10.05,,29.14,-58.74,-221.09,5.28,25,20,20,15,20,0,0,0,0,0,0,0.0,0.0,34.48,100.0,0.0,68.97,25,16,16
032820,,우리기술,2025,2025-12-31,2026-06-18,14780.0,2536300000000.0,KRW,general,일반,코스닥시장상장법인,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",manufacturing,제조업형,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",industry,31,338455308703.0,214061207166.0,124394101537.0,-4104661336.0,-5486712823.0,87135395389.0,,20.39,-3.3,172.08,-6.3,52.78,4.71,-2.31,109.35,-10.05,,-332.95,-0.99,-57.37,3.76,25,20,20,15,20,0,0,0,10,0,10,6.0,0.0,0.0,68.97,20.69,72.41,15,16,16
047040,,대우건설,2025,2025-12-31,2026-06-18,22950.0,9430300000000.0,KRW,general,일반,유가증권시장상장법인,411,건물 건설업,general,일반형,건물 건설업,industry,19,13358502674960.0,9883897059667.0,3474605615293.0,-916079534292.0,,,,2.71,-26.36,284.46,,11.79,0.94,-25.3,311.71,-4.46,,-188.28,-1.06,8.74,,25,25,25,25,0,0,5,0,5,0,10,10.0,0.0,5.88,88.24,29.41,0.0,15,16,16
058450,,한주에이알티,2025,2025-12-31,2026-06-18,4440.0,22300000000.0,KRW,general,일반,코스닥시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",general,일반형,"영화, 비디오물, 방송 프로그램 제작 및 배급업",industry,26,25319382564.0,15320580668.0,9998801896.0,-10455279127.0,-5991886693.0,6286258658.0,,2.23,-104.57,153.22,-95.32,32.62,1.09,-23.29,90.59,-20.25,,-104.04,-81.28,-69.14,-75.07,25,25,25,25,0,0,5,0,10,0,15,15.0,0.0,12.0,96.0,16.0,100.0,15,16,16
064290,,인텍플러스,2025,2025-12-31,2026-06-18,48100.0,618800000000.0,KRW,general,일반,코스닥시장상장법인,292,특수 목적용 기계 제조업,manufacturing,제조업형,특수 목적용 기계 제조업,industry,147,118814866862.0,72861563834.0,45953303028.0,-3318912698.0,-3734628764.0,89765092570.0,,13.47,-7.22,158.56,-4.16,347.78,12.98,-8.29,88.16,-10.21,,-3.77,1.07,-79.85,6.05,25,20,20,15,20,0,0,0,10,0,10,6.0,0.0,6.29,69.01,15.38,66.2,15,16,16
080220,,제주반도체,2025,2025-12-31,2026-06-18,117700.0,4053900000000.0,KRW,general,일반,코스닥시장상장법인,261,반도체 제조업,manufacturing,제조업형,반도체 제조업,industry,51,335988104339.0,108883598978.0,227104505361.0,39499088944.0,35873972312.0,302230571186.0,102.63,17.85,17.39,47.94,11.87,47.87,8.0,-11.8,98.49,-11.68,-114.38,-123.21,29.19,51.32,23.55,25,20,20,15,20,0,0,25,25,20,50,51.0,12.0,2.0,4.0,64.0,11.11,0,16,16
082640,,동양생명,2025,2025-12-31,2026-06-18,7970.0,1243800000000.0,KRW,insurance,보험,유가증권시장상장법인,651,보험업,insurance,보험형,보험업,industry,8,35347237000000.0,33798362000000.0,1548875000000.0,124494000000.0,198812000000.0,2310778000000.0,9.99,0.8,8.04,2182.12,8.6,13.77,0.84,9.29,879.3,10.24,27.43,4.85,-1.25,-148.16,-1.64,10,40,35,15,0,20,20,15,0,15,55,61.0,42.86,42.86,42.86,0.0,40.0,20,16,16
