symbol,corpCode,name,year,fiscal_date,currency,sector_group,sector_name,market_type,industry_code,industry_name,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue
001440,,대한전선,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,283,절연선 및 케이블 제조업,1878565100000.0,925279344000.0,953285756000.0,71872998000.0,79823888000.0,2843980012000.0
001460,,BYC,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,141,봉제의복 제조업,685663060325.0,150742490158.0,534920570167.0,23666593032.0,27498394275.0,168401523886.0
001470,,삼부토건,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,412,토목 건설업,513742450417.0,411614796994.0,102127653423.0,-111007774067.0,-78151994195.0,574975687073.0
001520,,동양,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",1099649987596.0,311407795194.0,788242192402.0,18191365663.0,,
001530,,디아이동일,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,461,상품 중개업,975653234729.0,370119040311.0,605534194418.0,5995805541.0,,
001540,,안국약품,2023,2023-12-31,KRW,general,일반,코스닥시장상장법인,212,의약품 제조업,238597552699.0,86931890148.0,151665662551.0,998280290.0,5061440940.0,233675500767.0
001560,,제일연마,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,239,기타 비금속 광물제품 제조업,106615084744.0,10794721777.0,95820362967.0,10917005887.0,7891764655.0,85239048510.0
001570,,금양,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,201,기초 화학물질 제조업,703467371639.0,456932096288.0,246535275351.0,-60356260825.0,-14608343494.0,152030952048.0
001620,,케이비아이동국실업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,303,자동차 신품 부품 제조업,622237518375.0,426184780364.0,196052738011.0,8074115473.0,4502795734.0,649418493012.0
001630,,종근당홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,1456003650511.0,632518933646.0,823484716865.0,40575422161.0,,
001680,,대상,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,107,도시락 및 식사용 조리식품 제조업,3334370027478.0,1990623422846.0,1343746604632.0,68563901324.0,123716647215.0,4107493943805.0
001740,,SK네트웍스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,467,기타 전문 도매업,9110359000000.0,6954518000000.0,2155841000000.0,5459000000.0,237283000000.0,9133867000000.0
001780,,알루코,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,242,1차 비철금속 제조업,861149661387.0,502306306396.0,358843354991.0,20461689088.0,37632269602.0,591186560074.0
001790,,대한제당,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,106,"떡, 빵 및 과자류 제조업",1185391612000.0,630801051000.0,554590561000.0,32504635000.0,47216910000.0,1332349884000.0
001800,,오리온홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,5138300057884.0,818487035311.0,4319813022573.0,290412989562.0,405463095002.0,2953806265859.0
001810,,무림SP,2023,2023-12-31,KRW,general,일반,코스닥시장상장법인,171,"펄프, 종이 및 판지 제조업",315066449543.0,115117403131.0,199949046412.0,-5732388489.0,-7289718026.0,162093712069.0
001820,,삼화콘덴서공업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,262,전자부품 제조업,308031065017.0,62806572612.0,245224492405.0,20925722895.0,23693227777.0,280768545013.0
001880,,디엘건설,2023,2023-12-31,KRW,general,일반,기타법인,411,건물 건설업,1983636503357.0,954908164582.0,1028728338775.0,41948658176.0,,
001890,,에이치디씨영창,2023,2023-12-31,KRW,general,일반,기타법인,332,악기 제조업,31721800561.0,42335302948.0,-10613502387.0,-9259165829.0,-9368970850.0,64183633812.0
001940,,KISCO홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,1802517204572.0,203567062700.0,1598950141872.0,130202530569.0,149275075244.0,1541894306076.0
001970,,에스지신성건설,2023,2023-12-31,KRW,general,일반,기타법인,412,토목 건설업,134008163068.0,106646914457.0,27361248611.0,-9275135560.0,-3680656993.0,213158959126.0
002020,,코오롱,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,5231418956586.0,3920885075473.0,1310533881113.0,15387285329.0,102926776246.0,5894231282101.0
002030,,아세아,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,3272086005881.0,1291990927528.0,1980095078353.0,175601384139.0,240394994935.0,2115887323161.0
002070,,비비안,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,141,봉제의복 제조업,191082593771.0,102817066992.0,88265526779.0,-7900981725.0,4859608010.0,217298020725.0
002100,,경농,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,203,"비료, 농약 및 살균, 살충제 제조업",448592733973.0,180131701890.0,268461032083.0,15126191336.0,25209888376.0,347407788945.0
002140,,고려산업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,106,"떡, 빵 및 과자류 제조업",277915943029.0,170990032083.0,106925910946.0,3135896967.0,7989269786.0,319058618654.0
002150,,도화엔지니어링,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,721,"건축기술, 엔지니어링 및 관련 기술 서비스업",605100050298.0,330735948947.0,274364101351.0,20743987999.0,21891969353.0,574990699821.0
002170,,삼양통상,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,151,"가죽, 가방 및 유사제품 제조업",454751843435.0,22832801527.0,431919041908.0,21640419330.0,,
002200,,한국수출포장공업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,172,"골판지, 종이 상자 및 종이 용기 제조업",357003990077.0,61282437741.0,295721552336.0,19041696095.0,22880520713.0,312304377084.0
002220,,한일철강,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,331028995726.0,157459593318.0,173569402408.0,430267265.0,4859777657.0,216255460140.0
002230,,피에스텍,2023,2023-12-31,KRW,general,일반,코스닥시장상장법인,272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",154299720240.0,24381487923.0,129918232317.0,3903923412.0,851493802.0,69629912611.0
002240,,고려제강,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,2451280644242.0,656069963664.0,1795210680578.0,64526770048.0,56316856694.0,1788877688439.0
002310,,아세아제지,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,172,"골판지, 종이 상자 및 종이 용기 제조업",1048177764841.0,198420445505.0,849757319336.0,81053175532.0,87582502735.0,908334402467.0
002320,,한진,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,493,도로 화물 운송업,4201363599974.0,2661786978230.0,1539576621744.0,26107574417.0,122526979246.0,2807528782563.0
002350,,넥센타이어,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,221,고무제품 제조업,4232661554569.0,2527778745177.0,1704882809392.0,103115550054.0,186991098059.0,2701720151279.0
002360,,SH에너지화학,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,201,기초 화학물질 제조업,120793105133.0,30661330140.0,90131774993.0,-2582296699.0,-4115868315.0,134037726894.0
002380,,케이씨씨,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,204,기타 화학제품 제조업,13353471078397.0,7905941668878.0,5447529409519.0,92502625102.0,312530203929.0,6288442613717.0
002390,,한독,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,790339658177.0,449706525420.0,340633132757.0,-28940426192.0,,
002410,,범양건영,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,411,건물 건설업,192910732982.0,130776898314.0,62133834668.0,-9110987152.0,-10434014937.0,120763371366.0
002450,,삼익악기,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,332,악기 제조업,534158280214.0,271955667078.0,262202613136.0,3388984566.0,6465355387.0,247929198845.0
002460,,화성산업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,411,건물 건설업,991687669827.0,622246444215.0,369441225612.0,19208134783.0,25253673267.0,908068526965.0
002600,,조흥,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,107,도시락 및 식사용 조리식품 제조업,394002199996.0,244362080995.0,149640119001.0,355244125.0,15648302437.0,405945609421.0
002620,,제일파마홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,879996990707.0,477810922325.0,402186068382.0,-13240831932.0,20820186238.0,804043001736.0
002680,,한탑,2023,2023-12-31,KRW,general,일반,코스닥시장상장법인,106,"떡, 빵 및 과자류 제조업",141536913784.0,93537948671.0,47998965113.0,-10307836452.0,911746243.0,94845849580.0
002710,,TCC스틸,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,559737446490.0,324690124283.0,235047322207.0,-8293017782.0,11250766391.0,624418627125.0
002720,,국제약품,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,163259483207.0,78309909600.0,84949573607.0,-8414888054.0,-1989142940.0,135372690530.0
002790,,아모레퍼시픽그룹,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,204,기타 화학제품 제조업,7631430777862.0,1106298749214.0,6525132028648.0,234714547925.0,152001477210.0,4021343038942.0
002800,,신신제약,2023,2023-12-31,KRW,general,일반,코스닥시장상장법인,212,의약품 제조업,124409301998.0,62318878216.0,62090423782.0,4646161084.0,6003846310.0,102585576212.0
002810,,삼영무역,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,467,기타 전문 도매업,675612520563.0,120001032866.0,555611487697.0,55062738980.0,17182275919.0,476810216001.0
002820,,SUN&L,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,162,나무제품 제조업,628100647252.0,396711706025.0,231388941227.0,-159209216493.0,-30185394857.0,441061876743.0
