재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_RecognisedAssetsDefinedBenefitPlan	         순확정급여자산	38,375,000,000	51,697,000,000	87,684,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ReinsuranceContractsHeldThatAreAssets	         재보험계약자산	1,604,279,000,000	1,552,927,000,000	1,843,407,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_Equity	            자본총계	10,935,289,000,000	9,391,213,000,000	10,303,743,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_EquityAttributableToOwnersOfParent	            지배주주지분	10,880,841,000,000	9,296,647,000,000	10,236,545,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_CapitalAdjustments	               자본조정	-124,205,000,000	-152,626,000,000	-152,626,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_CapitalSurplus	               자본잉여금	154,943,000,000	85,979,000,000	85,979,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_HybridBonds	               신종자본증권	865,006,000,000	0	0
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_AccumulatedOtherComprehensiveIncome	               기타포괄손익누계액	-3,357,851,000,000	-2,622,254,000,000	-146,362,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_IssuedCapital	               자본금	35,400,000,000	35,400,000,000	35,400,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_RetainedEarnings	               이익잉여금(결손금)	13,307,548,000,000	11,950,148,000,000	10,414,154,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_CatastropheReserveToBeAdded	                  (비상위험준비금 적립예정액)	76,142,000,000	140,167,000,000	136,483,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_RegulatoryReserveForCreditLoss	                  (대손준비금 적립액)	72,351,000,000	142,368,000,000	94,673,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_RegulatoryReserveForCreditLossToBeAddedReversed	                  (대손준비금 적립예정액)	53,166,000,000	-70,017,000,000	47,695,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_SurrenderValueReserve	                  (해약환급금준비금 적립액)	5,056,047,000,000	4,278,867,000,000	0
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_SurrenderValueReserveToBeAdded	                  (해약환급금준비금 적립예정액)	1,493,671,000,000	777,180,000,000	4,278,867,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ReserveForCatastrophe	                  (비상위험준비금 적립액)	1,655,221,000,000	1,515,054,000,000	1,378,571,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_NoncontrollingInterests	            비지배지분	54,448,000,000	94,566,000,000	67,198,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	74,022,307,000,000	66,506,137,000,000	60,040,428,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_Borrowings	            차입부채	2,732,656,000,000	1,484,700,000,000	1,277,717,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_CurrentTaxLiabilities	            당기법인세부채	1,541,000,000	240,576,000,000	54,466,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DeferredTaxLiabilities	            이연법인세부채	1,206,407,000,000	985,097,000,000	1,460,128,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialLiabilities	            파생상품부채	2,120,566,000,000	1,404,800,000,000	249,821,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialLiabilitiesHeldForHedging	               위험회피목적파생상품부채	2,113,139,000,000	1,378,826,000,000	249,821,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialLiabilitiesHeldForTrading	               단기매매 파생금융부채	7,427,000,000	25,974,000,000	0
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InsuranceContractsIssuedThatAreLiabilities	            보험계약부채	40,670,076,000,000	40,917,249,000,000	36,875,458,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	entity00159102_DividendInsuranceContractsIssuedThatAreLiabilitiesOfInsuranceContractsIssuedThatAreLiabilities	               유배당보험계약부채	4,418,957,000,000	4,604,326,000,000	4,576,099,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	entity00159102_NonDividendInsuranceContractsIssuedThatAreLiabilitiesOfInsuranceContractsIssuedThatAreLiabilities	               무배당보험계약부채	35,005,873,000,000	35,281,012,000,000	31,367,773,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	entity00159102_VariableInsuranceContractsIssuedThatAreLiabilitiesOfInsuranceContractsIssuedThatAreLiabilities	               변액보험계약부채	1,245,246,000,000	1,031,911,000,000	931,586,000,000
