symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,per_score,pbr_score,roe_score,debt_score,valuation_score
010040,00160205,한국내화,2025,2025-12-31,2026-06-18,1590.0,65300000000.0,275160718628.0,101077575174.0,174083143454.0,21794108992.0,2776126317.0,406341175254.0,3.0,0.38,12.52,58.06,25,25,20,25,95
011170,00165413,롯데케미칼,2025,2025-12-31,2026-06-18,80000.0,3422000000000.0,31117333049679.0,13488904582400.0,17628428467279.0,2476176326250.0,943115729953.0,18483005314922.0,1.38,0.19,14.05,76.52,25,25,20,25,95
013720,00151605,THE CUBE&,2025,2025-12-31,2026-06-18,550.0,33500000000.0,,26363105254.0,58356277724.0,12176839324.0,762078994.0,24907855868.0,2.75,0.57,20.87,45.18,25,20,25,25,95
016740,00119672,두올,2025,2025-12-31,2026-06-18,4350.0,124700000000.0,549395675901.0,270098951862.0,279296724039.0,31307526641.0,48595353009.0,796139348935.0,3.98,0.45,11.21,96.71,25,25,20,25,95
019010,00267906,베뉴지,2025,2025-12-31,2026-06-18,5280.0,254500000000.0,726258937366.0,280881584222.0,445377353144.0,101123973408.0,15045324725.0,48243436044.0,2.52,0.57,22.71,63.07,25,20,25,25,95
022220,00140061,티케이지애강,2025,2025-12-31,2026-06-18,740.0,38300000000.0,138925990092.0,52261300679.0,86664689413.0,11527550132.0,10835464075.0,64731135694.0,3.32,0.44,13.3,60.3,25,25,20,25,95
024800,00173999,유성티엔에스,2025,2025-12-31,2026-06-18,4665.0,172800000000.0,649670178537.0,96213298664.0,553456879873.0,57587548488.0,1225404512.0,67042880664.0,3.0,0.31,10.41,17.38,25,25,20,25,95
029480,00186452,광무,2025,2025-12-31,2026-06-18,1500.0,89600000000.0,231440995571.0,15513814009.0,215927181562.0,29092745553.0,4228353350.0,7572016042.0,3.08,0.41,13.47,7.18,25,25,20,25,95
032790,00110884,엠젠솔루션,2025,2025-12-31,2026-06-18,1270.0,32600000000.0,59847229232.0,26160262383.0,33686966849.0,16330139504.0,10274069702.0,28591100187.0,2.0,0.97,48.48,77.66,25,20,25,25,95
035610,00249982,솔본,2025,2025-12-31,2026-06-18,3545.0,96900000000.0,374525990937.0,62640247985.0,311885742952.0,34523112787.0,24620979407.0,120651025450.0,2.81,0.31,11.07,20.08,25,25,20,25,95
035620,00259590,바른손이앤에이,2025,2025-12-31,2026-06-18,985.0,18300000000.0,102888264494.0,44506483123.0,58381781371.0,6893362078.0,2276213982.0,11603958770.0,2.65,0.31,11.81,76.23,25,25,20,25,95
035890,00219848,서희건설,2025,2025-12-31,2026-06-18,2330.0,535500000000.0,1623933171319.0,538200951859.0,1085732219460.0,120601252773.0,144388838105.0,1100130344137.0,4.44,0.49,11.11,49.57,25,25,20,25,95
041930,00199988,동아화성,2025,2025-12-31,2026-06-18,5430.0,82500000000.0,307715897465.0,119719246661.0,187996650804.0,27339709171.0,17184950683.0,403410122226.0,3.02,0.44,14.54,63.68,25,25,20,25,95
049950,00447760,미래컴퍼니,2025,2025-12-31,2026-06-18,11490.0,101300000000.0,121863202289.0,20462366842.0,101400835447.0,25002992021.0,24695644553.0,40897794013.0,4.05,1.0,24.66,20.18,25,20,25,25,95
052420,00350048,오성첨단소재,2025,2025-12-31,2026-06-18,8360.0,81400000000.0,342395987539.0,60384833726.0,282011153813.0,32375989819.0,30123323165.0,165707403024.0,2.51,0.29,11.48,21.41,25,25,20,25,95
052790,00348034,액토즈소프트,2025,2025-12-31,2026-06-18,4535.0,49500000000.0,379303721811.0,122371104600.0,256932617211.0,31665500645.0,28586567849.0,69927864483.0,1.56,0.19,12.32,47.63,25,25,20,25,95
054040,00303396,한국컴퓨터,2025,2025-12-31,2026-06-18,5010.0,80500000000.0,297069949486.0,132581967749.0,164487981737.0,20548001570.0,22860563344.0,417773004030.0,3.92,0.49,12.49,80.6,25,25,20,25,95
064090,00390408,인크레더블버즈,2025,2025-12-31,2026-06-18,798.0,39700000000.0,70958916483.0,4164222638.0,66794693845.0,30204179171.0,6078614066.0,7211902064.0,1.31,0.59,45.22,6.23,25,20,25,25,95
065150,00390860,대산F&B,2025,2025-12-31,2026-06-18,1450.0,23100000000.0,37466437775.0,13121170169.0,24345267606.0,8315318465.0,4554449774.0,110864610083.0,2.78,0.95,34.16,53.9,25,20,25,25,95
